gender,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,15,16,2,20,Good,Under-7,M
M,20,20,3,25,Good,Under-7,M
M,10,7,0,30,Bad,Above-7,L
M,30,25,5,35,Bad,Above-7,L
M,40,50,12,50,Bad,Above-7,M
F,42,30,13,70,Bad,Above-7,M
M,35,12,0,17,Bad,Above-7,L
M,50,10,15,22,Good,Under-7,M
F,12,21,16,50,Good,Under-7,M
F,70,80,25,70,Good,Under-7,M
M,50,88,30,80,Good,Under-7,H
M,19,6,19,12,Good,Under-7,M
M,5,1,0,11,Bad,Above-7,L
M,20,14,12,19,Bad,Above-7,L
F,62,70,44,60,Bad,Above-7,H
F,30,40,22,66,Good,Under-7,M
M,36,30,20,80,Bad,Above-7,M
M,55,13,35,90,Bad,Above-7,M
F,69,15,36,96,Good,Under-7,M
M,70,50,40,99,Good,Under-7,H
F,60,60,33,90,Bad,Above-7,M
F,10,12,4,80,Bad,Under-7,M
M,15,21,2,90,Bad,Under-7,M
M,2,0,2,50,Bad,Above-7,L
M,0,2,3,70,Good,Above-7,L
M,8,7,30,40,Good,Above-7,L
M,19,19,25,40,Bad,Under-7,M
M,25,15,12,33,Bad,Above-7,L
M,75,85,52,43,Good,Under-7,M
F,30,90,33,35,Bad,Under-7,M
F,35,80,50,70,Good,Under-7,H
M,4,5,40,16,Good,Above-7,L
F,2,19,10,50,Good,Above-7,L
M,8,22,9,40,Bad,Above-7,L
M,12,11,8,40,Bad,Above-7,L
M,10,12,17,30,Bad,Above-7,L
M,8,6,4,22,Good,Above-7,L
F,45,54,26,90,Good,Under-7,M
M,0,0,0,4,Bad,Above-7,L
F,50,90,37,70,Good,Under-7,M
F,14,13,3,70,Bad,Above-7,L
M,19,20,16,50,Good,Under-7,M
M,10,12,7,33,Good,Above-7,L
F,30,35,28,90,Good,Under-7,M
F,33,33,30,90,Bad,Under-7,M
M,20,12,15,70,Good,Above-7,L
M,7,10,1,30,Bad,Above-7,L
F,70,4,39,90,Good,Under-7,H
F,13,80,40,88,Good,Under-7,H
F,29,39,50,77,Good,Under-7,M
F,20,14,12,70,Bad,Above-7,L
M,39,15,16,50,Good,Above-7,L
F,55,90,16,40,Bad,Under-7,M
F,49,70,19,75,Good,Under-7,H
M,12,50,8,30,Bad,Above-7,L
M,16,14,6,20,Good,Above-7,L
M,19,5,4,1,Good,Above-7,L
M,5,2,6,5,Good,Above-7,L
M,28,60,19,50,Good,Under-7,M
F,27,22,22,40,Good,Under-7,M
F,21,10,28,20,Good,Above-7,L
M,50,70,32,40,Good,Under-7,M
M,80,90,70,80,Good,Under-7,H
M,17,13,16,12,Bad,Under-7,M
M,0,5,7,2,Bad,Above-7,L
M,13,5,18,19,Bad,Above-7,L
F,25,10,19,30,Bad,Above-7,M
F,65,75,23,80,Good,Under-7,H
F,70,69,35,30,Good,Under-7,H
M,39,40,11,33,Bad,Under-7,M
M,22,30,10,12,Good,Above-7,L
M,29,22,9,20,Good,Under-7,M
M,11,2,2,8,Bad,Under-7,L
F,19,30,26,19,Bad,Above-7,M
M,12,0,6,13,Bad,Under-7,L
M,50,90,29,60,Good,Under-7,M
M,15,70,37,44,Good,Under-7,M
M,20,80,33,33,Good,Under-7,M
M,13,3,11,9,Bad,Above-7,L
F,80,90,49,55,Bad,Under-7,H
M,8,15,10,40,Bad,Under-7,L
M,8,25,1,70,Bad,Above-7,L
M,7,5,2,80,Good,Above-7,L
M,7,4,10,50,Good,Above-7,M
M,50,70,50,10,Good,Above-7,H
M,1,0,1,12,Bad,Above-7,L
M,70,12,40,50,Good,Under-7,H
M,19,70,3,50,Bad,Under-7,L
F,3,12,4,33,Bad,Under-7,L
M,5,20,1,50,Good,Above-7,L
M,4,8,10,60,Good,Above-7,L
M,80,90,55,19,Good,Under-7,H
F,50,70,19,15,Good,Under-7,H
M,55,89,40,40,Good,Under-7,H
F,80,44,35,10,Good,Above-7,L
F,100,80,2,70,Bad,Under-7,H
F,14,60,11,75,Good,Under-7,H
F,6,2,38,12,Bad,Under-7,M
F,10,3,0,30,Bad,Under-7,M
M,50,7,9,50,Bad,Above-7,M
M,50,90,40,90,Bad,Under-7,M
F,70,92,50,7,Good,Under-7,H
F,2,6,2,8,Bad,Above-7,L
M,1,7,6,10,Bad,Above-7,L
M,0,12,3,3,Good,Above-7,M
F,0,0,5,80,Good,Above-7,L
F,12,26,7,40,Good,Under-7,M
M,70,90,41,33,Bad,Under-7,H
M,7,12,5,3,Bad,Above-7,M
M,90,70,30,14,Bad,Under-7,M
F,70,88,55,40,Good,Under-7,H
M,77,80,51,80,Good,Under-7,M
M,2,5,3,50,Bad,Above-7,L
M,25,27,0,69,Bad,Above-7,L
M,11,2,0,50,Bad,Above-7,L
M,0,8,11,70,Good,Above-7,L
F,77,80,12,19,Good,Above-7,M
F,25,29,40,17,Good,Under-7,H
F,24,35,23,22,Good,Above-7,M
M,60,60,3,60,Bad,Under-7,M
M,21,12,0,50,Good,Under-7,M
M,0,4,8,30,Bad,Above-7,L
F,66,90,55,12,Good,Above-7,M
F,70,98,7,5,Good,Under-7,M
M,0,6,4,15,Bad,Under-7,L
M,12,30,0,17,Good,Above-7,L
F,2,9,7,55,Good,Under-7,M
M,55,33,6,9,Bad,Above-7,L
M,12,10,20,16,Bad,Under-7,L
M,70,90,2,2,Good,Under-7,L
F,7,9,5,30,Bad,Above-7,L
M,80,42,20,50,Good,Under-7,M
M,0,3,10,3,Bad,Above-7,L
M,12,60,0,70,Good,Above-7,L
M,80,80,15,70,Good,Under-7,H
F,70,80,95,70,Good,Under-7,H
F,70,80,95,70,Good,Under-7,H
F,60,80,50,40,Bad,Under-7,M
F,100,80,95,90,Bad,Under-7,H
M,100,85,85,70,Bad,Under-7,M
M,10,60,5,20,Bad,Above-7,L
M,19,65,50,10,Bad,Above-7,L
M,10,75,55,11,Good,Under-7,M
M,80,90,55,19,Good,Under-7,H
M,10,10,15,19,Bad,Above-7,L
M,70,75,55,11,Bad,Under-7,M
F,100,75,50,70,Good,Under-7,H
F,10,79,30,30,Bad,Under-7,M
F,60,55,30,40,Bad,Under-7,M
F,100,75,50,70,Bad,Under-7,H
M,80,80,51,59,Good,Under-7,H
M,23,63,71,89,Good,Under-7,M
F,100,91,98,40,Bad,Under-7,H
M,10,51,40,40,Bad,Above-7,L
M,70,50,33,41,Bad,Above-7,M
M,70,58,73,91,Bad,Under-7,H
F,70,50,30,49,Good,Under-7,M
M,70,50,33,40,Good,Under-7,M
M,22,51,48,10,Bad,Above-7,L
F,62,68,48,80,Good,Under-7,M
F,82,89,58,50,Good,Under-7,H
M,72,80,58,66,Bad,Under-7,M
F,70,82,3,73,Bad,Under-7,H
F,60,82,93,43,Bad,Above-7,M
M,55,72,83,14,Good,Above-7,M
F,72,65,73,66,Good,Under-7,H
M,51,82,53,43,Bad,Under-7,M
M,80,92,83,43,Good,Under-7,H
M,60,52,23,33,Good,Under-7,H
M,30,12,29,23,Bad,Under-7,M
M,40,62,83,33,Good,Under-7,H
M,60,52,23,33,Good,Under-7,M
M,20,22,53,13,Good,Above-7,L
M,20,52,23,33,Good,Above-7,L
F,50,62,73,43,Bad,Above-7,M
M,10,2,13,53,Bad,Above-7,L
M,60,52,23,33,Bad,Under-7,H
F,15,52,83,11,Bad,Under-7,M
F,80,42,33,13,Bad,Under-7,H
M,40,51,20,33,Bad,Under-7,M
F,60,70,63,93,Bad,Under-7,H
M,50,62,13,33,Bad,Above-7,L
M,85,75,62,53,Bad,Under-7,H
F,25,15,32,53,Bad,Under-7,M
M,10,35,30,13,Bad,Above-7,L
M,87,65,82,33,Good,Under-7,H
M,85,15,22,53,Good,Under-7,M
F,80,71,52,51,Good,Under-7,M
M,75,71,72,53,Good,Under-7,H
F,85,66,12,23,Bad,Under-7,M
M,23,25,32,53,Bad,Under-7,L
M,15,25,37,13,Good,Above-7,L
M,95,91,62,53,Good,Under-7,M
M,81,75,62,53,Bad,Under-7,M
M,53,75,72,23,Bad,Under-7,M
M,15,43,42,33,Good,Under-7,M
M,92,65,62,53,Good,Under-7,H
M,83,75,62,53,Bad,Under-7,H
M,27,15,42,53,Bad,Above-7,L
M,45,95,12,13,Bad,Under-7,M
M,15,90,52,83,Bad,Under-7,H
F,45,58,52,43,Good,Under-7,H
M,25,5,12,33,Good,Under-7,M
F,22,51,42,40,Bad,Under-7,M
M,29,10,12,24,Bad,Above-7,L
F,72,51,42,24,Bad,Above-7,H
M,67,31,42,14,Good,Under-7,M
M,17,21,42,14,Good,Under-7,M
M,27,41,49,14,Bad,Under-7,M
M,70,81,39,84,Bad,Under-7,M
M,27,90,82,14,Good,Under-7,H
M,17,61,42,14,Bad,Under-7,M
M,87,81,42,19,Good,Under-7,H
M,7,61,22,14,Bad,Above-7,L
M,17,50,2,4,Bad,Above-7,L
M,5,21,42,14,Good,Above-7,L
M,27,41,32,61,Bad,Above-7,M
F,87,88,40,10,Good,Under-7,M
M,96,61,42,94,Bad,Under-7,H
M,57,51,46,34,Good,Under-7,M
M,77,69,41,13,Good,Under-7,M
M,80,51,40,24,Good,Under-7,M
M,62,61,82,40,Bad,Under-7,M
M,72,83,12,90,Good,Under-7,H
M,87,81,22,70,Bad,Under-7,H
M,72,90,12,30,Bad,Under-7,M
M,2,11,62,30,Bad,Under-7,L
M,5,3,2,10,Good,Under-7,L
M,73,84,77,81,Good,Above-7,H
M,5,17,21,10,Bad,Above-7,L
M,51,42,12,29,Bad,Above-7,M
M,9,7,21,20,Good,Above-7,L
M,19,72,15,50,Good,Above-7,M
F,32,80,58,46,Good,Above-7,M
M,32,60,58,66,Good,Above-7,M
M,12,8,18,26,Bad,Above-7,L
M,52,10,13,6,Bad,Above-7,L
M,72,80,58,66,Good,Above-7,M
F,72,80,58,66,Good,Above-7,M
M,92,80,88,76,Good,Under-7,H
M,72,80,98,96,Bad,Under-7,H
M,72,80,58,86,Good,Under-7,M
M,22,20,18,6,Bad,Above-7,L
M,12,20,38,46,Bad,Above-7,M
M,70,92,83,85,Bad,Under-7,H
F,50,40,52,66,Bad,Under-7,M
F,80,94,62,77,Good,Under-7,H
F,87,48,82,96,Bad,Above-7,M
F,70,40,2,16,Bad,Above-7,L
M,65,86,62,40,Good,Above-7,M
M,15,6,32,40,Good,Under-7,H
M,19,74,32,17,Good,Above-7,L
F,69,76,82,94,Bad,Under-7,M
M,39,26,12,44,Bad,Above-7,L
M,59,97,42,70,Good,Under-7,H
M,10,17,12,40,Good,Under-7,H
F,80,87,72,60,Good,Under-7,H
F,70,99,66,65,Good,Under-7,M
F,80,97,86,95,Good,Under-7,M
M,69,34,12,17,Bad,Above-7,L
M,10,17,12,14,Bad,Above-7,L
M,61,97,82,64,Bad,Above-7,M
F,21,27,52,34,Good,Above-7,M
M,49,94,42,7,Bad,Above-7,M
F,70,64,42,32,Bad,Under-7,M
F,79,84,82,37,Bad,Under-7,H
M,19,80,12,17,Good,Above-7,M
M,11,70,32,29,Good,Above-7,M
M,10,8,10,10,Bad,Above-7,M
M,18,28,40,20,Bad,Above-7,M
F,90,84,52,30,Good,Under-7,H
F,92,81,32,36,Good,Under-7,M
M,42,21,2,16,Bad,Under-7,M
M,22,20,6,26,Bad,Under-7,H
F,95,82,82,70,Good,Under-7,H
F,90,62,80,60,Good,Under-7,H
M,72,21,22,26,Good,Under-7,H
M,92,31,42,27,Good,Under-7,H
M,82,31,52,25,Good,Under-7,M
M,72,41,46,27,Good,Under-7,M
M,74,71,56,37,Good,Under-7,H
M,74,60,56,37,Good,Under-7,H
F,95,94,72,80,Good,Under-7,H
F,97,87,82,86,Good,Under-7,H
M,40,38,32,36,Bad,Above-7,M
M,41,39,35,39,Bad,Above-7,M
F,51,79,85,89,Good,Under-7,H
F,81,79,91,85,Good,Under-7,H
M,71,70,65,69,Good,Under-7,M
M,75,71,76,80,Good,Under-7,M
F,49,36,32,44,Bad,Above-7,L
F,42,24,12,24,Bad,Above-7,L
F,90,86,82,74,Good,Under-7,H
F,62,64,72,84,Good,Under-7,H
M,90,86,82,74,Good,Above-7,M
M,62,64,72,84,Good,Above-7,M
F,98,87,86,84,Good,Under-7,H
F,72,74,82,89,Good,Under-7,H
M,18,17,26,34,Good,Above-7,M
M,32,14,32,29,Good,Above-7,M
M,10,12,20,13,Bad,Above-7,L
M,22,34,15,9,Bad,Above-7,L
F,11,20,21,23,Bad,Under-7,M
F,12,44,25,39,Bad,Under-7,M
F,15,50,24,43,Bad,Under-7,M
F,32,44,29,89,Bad,Under-7,M
M,65,59,74,83,Good,Under-7,H
M,72,64,59,89,Good,Under-7,H
M,95,57,74,89,Good,Above-7,M
M,82,84,79,79,Good,Above-7,M
M,25,29,34,33,Good,Above-7,M
M,42,34,29,39,Good,Above-7,M
F,55,79,44,43,Good,Under-7,H
F,62,64,69,49,Good,Under-7,H
F,78,88,74,83,Good,Under-7,H
F,72,84,89,89,Good,Under-7,H
M,60,92,83,23,Good,Under-7,H
M,50,90,83,13,Good,Under-7,H
F,60,97,13,3,Good,Under-7,H
F,50,95,23,10,Good,Under-7,H
F,60,87,23,11,Good,Above-7,M
F,50,80,20,15,Good,Above-7,M
M,10,15,10,21,Bad,Above-7,L
M,30,10,20,5,Bad,Above-7,L
M,24,35,18,31,Bad,Under-7,M
M,27,20,33,35,Bad,Under-7,M
M,10,15,10,21,Bad,Above-7,L
M,30,10,20,5,Bad,Above-7,L
F,80,77,63,83,Good,Under-7,M
F,75,85,73,80,Good,Under-7,M
M,40,7,50,41,Good,Above-7,L
M,35,2,29,33,Good,Above-7,L
F,10,90,30,21,Good,Under-7,M
F,25,80,29,23,Good,Under-7,M
M,10,8,9,3,Good,Above-7,L
M,15,7,12,7,Good,Above-7,L
F,70,90,20,21,Good,Under-7,M
F,75,80,15,20,Good,Under-7,M
F,78,98,10,11,Good,Under-7,M
F,79,89,11,14,Good,Under-7,M
F,16,90,15,11,Good,Under-7,M
F,17,80,13,10,Good,Under-7,M
M,40,87,50,41,Bad,Under-7,M
M,35,92,29,33,Bad,Under-7,M
F,14,97,15,14,Good,Under-7,H
F,13,82,20,30,Good,Under-7,H
F,24,97,15,14,Good,Under-7,H
F,23,82,20,30,Good,Under-7,H
M,20,3,9,3,Good,Above-7,L
M,15,4,12,7,Good,Above-7,L
M,5,13,6,6,Good,Above-7,L
M,7,9,11,10,Good,Above-7,L
F,10,94,40,11,Good,Under-7,M
F,25,89,21,13,Good,Under-7,M
M,30,98,42,21,Good,Under-7,H
M,35,97,41,23,Good,Under-7,H
M,32,88,32,25,Good,Under-7,M
M,25,87,21,27,Good,Under-7,M
F,72,98,52,15,Good,Under-7,H
F,75,90,51,17,Good,Under-7,H
M,20,88,31,28,Good,Above-7,M
M,10,98,41,38,Good,Above-7,M
M,90,98,41,38,Good,Under-7,H
M,80,88,51,39,Good,Under-7,H
M,80,95,21,28,Good,Under-7,H
M,78,70,31,29,Good,Under-7,H
M,10,18,71,38,Good,Above-7,M
M,10,58,51,48,Good,Above-7,M
F,98,88,60,31,Good,Under-7,H
F,75,81,51,34,Good,Under-7,H
M,10,17,50,21,Bad,Under-7,M
M,35,2,29,23,Bad,Under-7,M
F,10,20,22,97,Bad,Above-7,L
F,5,9,19,98,Bad,Above-7,L
M,10,10,40,51,Bad,Above-7,L
M,35,2,29,23,Bad,Above-7,L
M,20,90,50,61,Bad,Above-7,M
M,32,82,59,63,Bad,Above-7,M
M,10,30,50,91,Bad,Above-7,L
M,12,22,59,83,Bad,Above-7,L
F,11,20,20,98,Bad,Above-7,L
F,10,12,29,93,Bad,Above-7,L
M,69,82,20,28,Good,Under-7,H
M,70,83,29,33,Good,Under-7,H
F,89,92,40,28,Good,Under-7,H
F,79,93,49,23,Good,Under-7,H
M,15,90,21,97,Good,Under-7,M
M,20,77,31,88,Good,Under-7,M
M,4,10,11,7,Good,Above-7,L
M,5,0,1,8,Good,Above-7,L
F,88,81,50,10,Good,Above-7,M
F,90,88,54,12,Good,Above-7,M
F,86,98,50,20,Good,Under-7,H
F,90,90,57,22,Good,Under-7,H
M,78,91,50,40,Good,Under-7,H
M,70,98,54,72,Good,Under-7,H
M,80,80,46,61,Bad,Under-7,M
M,85,82,59,63,Bad,Under-7,M
M,88,90,86,81,Good,Under-7,H
M,89,92,89,83,Good,Under-7,H
M,39,71,40,26,Good,Above-7,M
M,35,80,34,22,Good,Above-7,M
M,76,81,80,86,Good,Under-7,H
M,65,89,64,82,Good,Under-7,H
F,96,95,70,70,Good,Under-7,H
F,80,91,87,72,Good,Under-7,H
M,2,9,10,1,Bad,Above-7,L
M,3,8,19,3,Bad,Above-7,L
M,50,79,10,31,Bad,Under-7,M
M,53,88,9,33,Bad,Under-7,M
F,70,89,12,21,Good,Under-7,H
F,59,90,19,43,Good,Under-7,H
M,78,80,66,51,Good,Under-7,M
M,79,72,79,83,Good,Under-7,M
F,10,9,2,1,Good,Above-7,L
F,9,7,9,3,Good,Above-7,L
M,98,90,86,71,Good,Under-7,H
M,89,92,89,83,Good,Under-7,H
M,88,90,76,81,Good,Under-7,H
M,99,96,89,84,Good,Under-7,H
F,82,89,22,31,Good,Under-7,H
F,84,92,29,43,Good,Under-7,H
F,70,69,46,45,Good,Above-7,M
F,74,62,49,43,Good,Above-7,M
F,90,79,76,79,Good,Under-7,H
F,84,77,79,68,Good,Under-7,H
M,80,80,62,11,Good,Above-7,M
M,81,82,69,13,Good,Above-7,M
M,10,0,2,41,Bad,Above-7,L
M,11,2,9,49,Bad,Above-7,L
M,85,89,22,61,Bad,Under-7,H
M,80,89,23,68,Bad,Under-7,H
M,95,87,62,81,Bad,Under-7,M
M,87,79,73,98,Bad,Under-7,M
M,85,87,72,10,Good,Above-7,M
M,79,88,79,20,Good,Above-7,M
M,80,81,71,30,Good,Under-7,M
M,70,83,70,23,Good,Under-7,M
M,80,82,76,19,Good,Under-7,M
M,70,82,75,29,Good,Under-7,M
M,89,87,86,15,Good,Under-7,M
M,90,86,85,10,Good,Under-7,M
M,69,77,76,75,Good,Above-7,M
M,70,76,65,70,Good,Above-7,M
M,75,72,64,39,Good,Above-7,L
M,72,76,66,40,Good,Above-7,L
M,77,82,74,79,Good,Under-7,M
M,71,84,67,80,Good,Under-7,M
M,87,92,74,89,Good,Under-7,H
M,81,84,77,85,Good,Under-7,H
F,15,97,22,10,Good,Under-7,H
F,19,98,20,2,Good,Under-7,H
F,25,82,52,20,Good,Above-7,M
F,29,78,40,12,Good,Above-7,M
F,45,87,57,80,Good,Under-7,M
F,39,88,43,72,Good,Under-7,M
F,85,90,52,30,Good,Under-7,H
F,79,91,49,22,Good,Under-7,H
M,90,91,80,81,Good,Under-7,H
M,80,90,80,83,Good,Under-7,H
M,80,83,82,71,Good,Above-7,M
M,71,81,83,72,Good,Above-7,M
M,72,87,72,89,Good,Above-7,M
M,69,77,83,92,Good,Above-7,M
F,85,99,42,90,Good,Under-7,H
F,89,96,45,92,Good,Under-7,H
F,80,82,64,58,Good,Under-7,H
F,87,93,63,60,Good,Under-7,H
F,15,9,14,80,Bad,Above-7,L
F,9,6,15,85,Bad,Above-7,L
M,81,86,86,41,Good,Under-7,M
M,78,82,78,53,Good,Under-7,M
M,80,87,74,68,Good,Under-7,M
M,85,88,79,70,Good,Under-7,M
F,2,7,4,8,Bad,Above-7,L
F,5,4,5,8,Bad,Above-7,L
F,50,77,14,28,Bad,Under-7,M
F,55,74,25,29,Bad,Under-7,M
F,30,17,14,57,Bad,Above-7,L
F,35,14,23,62,Bad,Above-7,L
